"Path","Lines"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\pages\game.html","374"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\pages\level-select.html","351"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-system.behavior.js","303"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-system.powerups.effects.js","296"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm.js","290"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\lazy-component-loader.js","284"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\quality-tier-manager.js","273"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-system.spawn.js","257"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\ui-boundary-manager.core.js","256"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-powerups.ui.js","253"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\utils-achievements.js","252"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\constants.js","245"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-powerups.selection.js","239"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-factory.js","238"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\display-manager.js","237"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\utils-combo.js","236"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-movement.js","232"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-system.effects.js","228"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\symbol-validator.js","226"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\pages\index.html","219"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\lock-responsive.js","218"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\ui-boundary-manager.positioning.js","218"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-system.powerups.js","215"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-renderer.js","214"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\problem-loader.js","214"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\dynamic-quality-adjuster.js","210"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-movement-behaviors.js","208"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\performance-monitor.js","206"
"C:\Users\eboth\Documents\MathMaster\MathMasterHTML\src\scripts\worm-movement-navigation.js","202"
