"Path","Extension","Lines"
"package-lock.json",".json","3351"
"src\assets\images\Images\Level select.jpg",".jpg","2090"
"test-results.json",".json","1824"
"tests\integration\worm-movement-system.spec.js",".js","563"
"tests\integration\worm-movement-navigation.spec.js",".js","514"
"tests\integration\worm-movement-behaviors.spec.js",".js","475"
"src\styles\css\worm-effects.css",".css","441"
"src\styles\css\modern-ux-enhancements.css",".css","428"
"tests\unit\worm-movement.spec.js",".js","425"
"src\styles\css\lock-components\line-2-transformer.css",".css","419"
"MathMasterHTML.mdc",".mdc","417"
"src\styles\css\lock-components\Line-5-transformer.css",".css","387"
"src\styles\css\lock-components\line-4-transformer.css",".css","387"
"src\pages\game.html",".html","382"
"src\styles\css\console.css",".css","382"
"src\styles\css\lock-components\line-6-transformer.effects.css",".css","374"
"src\styles\css\lock-components\line-3-transformer.css",".css","353"
"src\pages\level-select.html",".html","351"
"tests\performance\worm-movement-bench.spec.js",".js","333"
"src\styles\css\lock-components\Line-1-transformer.css",".css","331"
"src\styles\css\game-animations.css",".css","331"
"service-worker.js",".js","325"
"src\styles\css\index.css",".css","324"
"src\styles\css\level-select.details.css",".css","310"
"src\styles\css\lock-components\line-6-transformer.css",".css","306"
"tests\unit\worm-evasion.spec.js",".js","299"
"src\assets\components\lock-components\line-6-transformer.html",".html","298"
"src\scripts\worm-system.powerups.effects.js",".js","296"
"src\scripts\worm.js",".js","290"
"tests\powerups.spec.js",".js","289"
"src\assets\images\Images\Gameplay3.jpg",".jpg","285"
"src\styles\css\worm-base.css",".css","281"
"src\scripts\quality-tier-manager.js",".js","273"
"src\styles\css\lock-components\line-3-transformer.effects.css",".css","268"
"src\scripts\worm-system.spawn.js",".js","257"
"src\tools\scripts\verify.js",".js","257"
"src\scripts\ui-boundary-manager.core.js",".js","256"
"src\styles\css\lod-animations.css",".css","248"
"src\scripts\worm-powerups.effects.chain.js",".js","245"
"src\scripts\constants.js",".js","245"
"src\styles\css\level-select.css",".css","240"
"tests\utils\test-data-generators.js",".js","239"
"src\scripts\worm-factory.js",".js","238"
"src\scripts\display-manager.js",".js","237"
"src\scripts\worm-movement.js",".js","232"
"src\assets\components\lock-components\Line-5-transformer.html",".html","230"
"src\scripts\symbol-validator.js",".js","226"
"src\scripts\worm-system.effects.js",".js","222"
"src\assets\components\lock-components\line-4-transformer.html",".html","222"
"src\styles\css\game-responsive.css",".css","221"
"src\pages\index.html",".html","219"
"src\scripts\lock-responsive.js",".js","218"
"src\scripts\ui-boundary-manager.positioning.js",".js","218"
"src\scripts\worm-system.behavior.js",".js","218"
"src\scripts\worm-system.powerups.js",".js","215"
"src\scripts\problem-loader.js",".js","214"
"src\scripts\worm-renderer.js",".js","214"
"src\scripts\dynamic-quality-adjuster.js",".js","210"
"src\scripts\worm-movement-behaviors.js",".js","208"
"tests\ui-boundary.spec.js",".js","207"
"src\scripts\performance-monitor.js",".js","206"
